"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.694985235081382,0.326624387033496,-1.11401564786685,0.265272473715608,0.365960012036365,1.31755752610657
"renta",1.16590573829343,0.190726692104419,0.804807345122391,0.420930862407169,0.80225644631766,1.69474130892934
"edad",0.48028088412618,0.356818309847289,-2.05534343593376,0.0398458447280147,0.238341688608476,0.965730512115283
"paro",1.36274364084957,0.320773812284726,0.96485448215611,0.334617702775495,0.726957712620352,2.5571891781019
"lag_risk",3.35941161546333,0.489888514528044,2.47355430523363,0.0133776471097863,1.28804853156089,8.79562256010141
